variant,positional,seed,cohort,digit_length,ood,n_layers,n_loops_trained,pass_count,d_model,steps,params,n_eval,exact_acc,digit_acc,chance_exact,chance_digit,per_place_acc,mean_wrong_digits
full,rope,0,ood_8d,8,True,2,4,4,256,8000,1586701,2000,0.0,0.15381,0.0005,0.13407,0.134|0.179|0.131|0.096|0.103|0.102|0.101|0.098|0.102|0.089|0.102|0.105|0.131|0.191|0.328|0.575,13.33
full,rope,0,ood_8d,8,True,2,4,8,256,8000,1586701,2000,0.0,0.14524,0.0005,0.13407,0.117|0.163|0.130|0.099|0.102|0.097|0.108|0.113|0.103|0.091|0.105|0.100|0.127|0.168|0.290|0.498,13.465
full,rope,0,ood_8d,8,True,2,4,16,256,8000,1586701,2000,0.0,0.13232,0.0005,0.13407,0.117|0.136|0.118|0.100|0.096|0.103|0.104|0.107|0.102|0.099|0.106|0.107|0.116|0.135|0.229|0.412,13.668
full,rope,0,ood_8d,8,True,2,4,32,256,8000,1586701,2000,0.0,0.12163,0.0005,0.13407,0.114|0.122|0.111|0.105|0.091|0.102|0.099|0.105|0.104|0.088|0.102|0.110|0.102|0.119|0.194|0.328,13.837
carry_only,rope,0,train_seen,-1,False,2,4,2,256,8000,1586188,2000,0.012,0.57371,0.0005,0.14399,1.000|1.000|0.993|0.796|0.441|0.368|0.256|0.151|0.157|0.383,4.021
carry_only,rope,0,train_seen,-1,False,2,4,4,256,8000,1586188,2000,1.0,1.0,0.0005,0.14399,1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,0.0
carry_only,rope,0,train_seen,-1,False,2,4,8,256,8000,1586188,2000,1.0,1.0,0.0005,0.14399,1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,0.0
carry_only,rope,0,train_seen,-1,False,2,4,16,256,8000,1586188,2000,1.0,1.0,0.0005,0.14399,1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,0.0
carry_only,rope,0,train_seen,-1,False,2,4,32,256,8000,1586188,2000,1.0,1.0,0.0005,0.14399,1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,0.0
carry_only,rope,0,id_1d,1,False,2,4,2,256,8000,1586188,5,1.0,1.0,0.2,0.375,1.000|1.000,0.0
carry_only,rope,0,id_1d,1,False,2,4,4,256,8000,1586188,5,1.0,1.0,0.2,0.375,1.000|1.000,0.0
carry_only,rope,0,id_1d,1,False,2,4,8,256,8000,1586188,5,1.0,1.0,0.2,0.375,1.000|1.000,0.0
carry_only,rope,0,id_1d,1,False,2,4,16,256,8000,1586188,5,1.0,1.0,0.2,0.375,1.000|1.000,0.0
carry_only,rope,0,id_1d,1,False,2,4,32,256,8000,1586188,5,1.0,1.0,0.2,0.375,1.000|1.000,0.0
carry_only,rope,0,id_2d,2,False,2,4,2,256,8000,1586188,45,0.75556,0.93567,0.022222,0.20468,1.000|1.000|0.956|0.750,1.0
carry_only,rope,0,id_2d,2,False,2,4,4,256,8000,1586188,45,1.0,1.0,0.022222,0.20468,1.000|1.000|1.000|1.000,0.0
carry_only,rope,0,id_2d,2,False,2,4,8,256,8000,1586188,45,1.0,1.0,0.022222,0.20468,1.000|1.000|1.000|1.000,0.0
